"해수욕장별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"해수욕장별(1)",백사장,백사장,시설물 (개),시설물 (개),시설물 (개),시설물 (개),시설물 (개),시설물 (개),시설물 (개),이용객수 (명)
"해수욕장별(1)",면적 (㎡),길이 (㎞),탈의장,샤워장,화장실,뜀대,종합관리소,망루대,공동수도,소계
"합계",1715374,19308,35,42,52,-,25,48,40,449396
"영일대(구 북부)",382608,1750,1,2,2,-,1,2,2,52026
"칠포",324443,4000,1,2,2,-,1,2,1,25303
"월포",107786,1100,1,3,3,-,1,2,2,41214
"화진",56000,750,1,2,2,-,1,2,1,22808
"구룡포",19830,400,2,2,2,-,1,-,2,30922
"도구",31000,800,2,1,1,-,1,-,1,18704
"오류",28947,462,2,2,2,-,1,2,2,33900
"전촌",36120,624,1,1,1,-,1,2,3,-
"나정",20102,383,1,1,2,-,1,2,3,31615
"봉길",18832,538,2,2,3,-,1,2,1,24620
"관성",36533,932,2,2,2,-,1,2,2,10210
"장사",197000,1200,2,2,3,-,1,4,2,16508
"대진",51000,350,1,2,2,-,1,2,1,8356
"고래불",243052,2000,4,3,4,-,1,7,3,28980
"남호",7000,500,2,2,2,-,1,2,1,3475
"하저",10558,550,1,2,2,-,1,2,1,5120
"오보",4950,250,1,2,2,-,1,1,1,1573
"경정",6487,400,1,2,2,-,1,1,1,3874
"나곡",9073,150,1,1,1,-,1,2,1,5700
"후정",11979,346,1,1,2,-,1,1,1,11296
"봉평",7835,157,1,1,2,-,1,1,1,9121
"망양정",27259,435,1,1,2,-,1,3,2,13746
"기성망양",38516,646,1,1,2,-,1,1,1,10965
"구산",23308,360,1,1,3,-,1,1,3,26607
"후포",15156,225,1,1,1,-,1,2,1,12753
