해수욕장별,백사장면적 (제곱미터),백사장길이 (미터),탈의장 (개소),샤워장 (개소),화장실 (개소),망루대 (개소),공동수도 (개소),이용객수 (명)
왕산(중구 을왕동),27825,795,1,1,4,1,1,64480
을왕(중구 을왕동),52650,585,1,1,2,1,4,120151
실미(중구 무의동),45500,455,1,1,5,1,2,111228
하나개(중구 무의동),30000,1000,1,1,4,1,4,44226
동막(강화군 화도면 동막리),12000,1,1,1,1,1,2,255160
민머루(강화군 삼산면 매음리),15000,0,1,1,1,1,4,88180
수기(옹진군 북도면 시도리),100000,1075,0,1,2,1,1,2240
옹암(옹진군 북도면 장봉리),267000,988,0,1,6,1,1,3230
진촌(옹진군 북도면 장봉리),52000,585,0,3,4,1,2,66234
한들(옹진군 북도면 장봉리),78000,705,0,3,4,1,3,35235
구리동(옹진군 연평면 연평리),24000,506,0,1,1,1,1,2300
사곶(옹진군 백령면 진촌리),33000,454,0,1,1,1,2,4250
사탄동(옹진군 대청면 대청리),99000,693,0,1,2,1,4,2750
지두리(옹진군 대청면 대청리),89000,415,0,1,1,1,1,1640
소청(예동)(옹진군 대청면 소청리),10000,354,0,1,1,1,1,663
서포리(옹진군 덕적면 서포리),7500,615,0,1,1,1,1,750
밧지름(옹진군 덕적면 진리),200000,709,0,1,1,1,1,1100
떼뿌루(옹진군 덕적면 소야리),600000,1679,0,2,1,1,2,3078
문갑(옹진군 덕적면 문갑리),100000,588,0,1,1,1,0,1878
굴업(옹진군 덕적면 굴업리),300000,1261,0,1,1,1,0,1070
장골(옹진군 자월면 자월리),30000,326,0,0,0,1,0,88
큰말(옹진군 자월면 자월리),25000,492,0,0,1,1,1,553
이일레(옹진군 자월면 승봉리),134000,636,0,1,1,0,1,40
큰풀안(옹진군 자월면 이작리),168000,663,0,1,1,1,1,1203
작은풀안(옹진군 자월면 이작리),49000,352,0,1,1,1,1,251
계남(옹진군 자월면 이작리),33000,272,0,1,1,1,1,230
벌안(옹진군 자월면 이작리),33000,794,0,1,1,1,1,425
십리포(옹진군 영흥면 내리),20000,262,0,1,1,0,1,544
장경리(옹진군 영흥면 내리),33000,238,0,1,1,1,2,870
