"해수욕장별(1)",2019,2019,2019,2019,2019,2019,2019,2019,2019
"해수욕장별(1)",총면적 (㎡),백사장,백사장,시설물 (개소),시설물 (개소),시설물 (개소),시설물 (개소),시설물 (개소),이용객수 (명)
"해수욕장별(1)",소계,면적 (㎡),길이 (m),탈의장,샤워장,화장실,망루대,공동수도,소계
"합계",1588000,776750,5030,17,20,21,11,23,1897784
"이호테우해수욕장",75000,42250,650,1,3,3,1,2,259690
"삼양해수욕장",21000,6000,200,2,3,3,1,1,48551
"곽지해수욕장",66000,82500,550,3,3,3,1,4,235000
"협재해수욕장",71000,40000,400,1,1,1,1,2,346910
"금능해수욕장",55000,30000,300,1,1,1,1,2,213950
"함덕해수욕장",477000,234000,900,4,4,4,1,1,402869
"김녕해수욕장",86000,25000,250,1,1,2,1,3,87169
"화순금모래해수욕장",99000,25000,120,1,1,1,1,2,37675
"중문색달해수욕장",110000,28000,560,1,1,1,1,2,173400
"표선해수욕장",220000,240000,800,1,1,1,1,2,75820
"신양섭지해수욕장",308000,24000,300,1,1,1,1,2,16750
